Date,Open,High,Low,Close,Adj Close,Volume
2017-06-20,82.498604,85.875526,82.026558,84.822510,82.812614,2386394
2017-06-21,85.149307,86.329414,83.696869,84.187065,82.192230,824849
2017-06-22,84.532021,87.110100,83.587936,84.078133,82.085876,1510844
2017-06-23,84.423088,85.258240,81.554520,83.696869,81.713638,501090
2017-06-27,84.168907,84.604645,79.394012,81.445587,79.515701,417548
2017-06-28,82.026558,83.515312,81.754227,82.861710,80.898277,324711
2017-06-29,83.606087,86.583588,82.244423,85.893684,83.858398,818173
2017-06-30,85.439796,91.140625,84.168907,89.978668,87.846603,2703838
2017-07-03,89.688179,92.393349,89.052742,91.739754,89.565948,1095400
2017-07-04,91.866844,92.556755,89.179825,90.051292,87.917496,567632
2017-07-05,90.704887,91.140625,88.998276,89.996826,87.864326,495532
2017-07-06,90.723045,91.104309,87.981567,89.179825,87.066681,434832
2017-07-07,90.196533,90.196533,86.510971,87.164566,85.099174,428941
2017-07-10,87.509521,90.305466,87.146416,88.380989,86.286774,274115
2017-07-11,88.925652,89.597404,87.509521,88.399139,86.304482,280997
2017-07-12,87.908943,90.396248,86.619904,88.871185,86.765350,1000118
2017-07-13,89.506630,90.450714,88.725945,88.961960,86.853973,557968
2017-07-14,88.961960,90.813828,87.999718,88.871185,86.765350,843463
2017-07-17,88.961960,90.595955,87.146416,89.960518,87.828880,539850
2017-07-18,89.506630,89.670029,87.255348,87.963409,85.879089,459309
2017-07-19,87.963409,88.998276,86.783302,87.890785,85.808174,414612
2017-07-20,87.872635,88.598854,85.512421,87.563988,85.489128,539976
2017-07-21,88.598854,88.961960,86.547279,87.073792,85.010544,375293
2017-07-24,86.783302,87.146416,83.896576,84.768044,83.122192,877444
2017-07-25,84.967751,86.365723,83.715019,85.094841,83.442635,1155189
2017-07-26,86.311256,86.311256,84.078133,84.659111,83.015366,526319
2017-07-27,85.294548,85.294548,81.336655,82.952492,81.341896,699454
2017-07-28,82.062874,82.952492,81.282188,81.826851,80.238106,2043686
2017-07-31,82.843559,82.970650,79.993141,81.681602,80.095680,1658596
2017-08-01,81.845001,82.226273,80.828300,81.536362,79.953247,495075
2017-08-02,82.425980,82.425980,80.247322,80.955383,79.383560,556922
2017-08-03,81.282188,81.282188,79.521103,80.083923,78.529022,277860
2017-08-04,79.230614,81.518204,78.976433,80.755676,79.187721,606683
2017-08-07,82.008408,82.008408,79.920525,80.937233,79.365761,356787
2017-08-08,81.881317,81.881317,80.701210,81.300339,79.721817,352780
2017-08-09,81.336655,81.372963,80.392563,81.155098,79.579391,547569
2017-08-10,83.152199,83.152199,78.649635,80.301788,78.742645,1105017
2017-08-11,80.301788,80.737518,78.794884,79.793434,78.244164,1698584
2017-08-14,79.938675,80.574120,78.068665,79.375854,77.834694,491691
2017-08-16,79.866058,80.065765,79.157990,79.811592,78.261971,790424
2017-08-17,79.811592,79.884209,79.230614,79.811592,78.261971,367246
2017-08-18,79.884209,79.884209,79.139832,79.575569,78.030533,370741
2017-08-21,79.521103,79.884209,79.230614,79.648186,78.101738,1051067
2017-08-22,80.555962,80.555962,77.179039,79.139832,77.603256,4380754
2017-08-23,78.431770,79.157990,76.888550,78.794884,77.264999,657643
2017-08-24,78.794884,79.157990,77.342438,78.649635,77.122574,348478
2017-08-28,79.321388,79.321388,77.723709,78.885658,77.354012,355501
2017-08-29,79.157990,79.157990,77.614777,77.977882,76.463875,856106
2017-08-30,78.722260,79.502945,77.941574,78.540703,77.015762,838814
2017-08-31,79.139832,84.967751,78.976433,83.551620,81.929382,2569846
2017-09-01,85.240082,85.712128,82.789093,85.330864,83.674088,1042851
2017-09-04,84.967751,90.450714,84.059975,88.144966,86.433548,1718299
2017-09-05,89.579247,92.956177,88.272057,89.343231,87.608543,2884571
2017-09-06,88.417297,91.140625,87.727386,90.105759,88.356270,935325
2017-09-07,89.488472,90.487022,87.545830,89.760803,88.018013,1334196
2017-09-08,91.304024,91.304024,88.998276,89.651871,87.911194,551829
2017-09-11,90.359940,90.777512,88.635162,89.688179,87.946800,463322
2017-09-12,88.998276,91.140625,88.998276,90.160225,88.409683,1824931
2017-09-13,90.051292,90.051292,87.164566,87.800011,86.095291,276453
2017-09-14,88.126808,89.651871,87.146416,88.671471,86.949837,189168
2017-09-15,89.579247,92.593063,87.255348,88.762253,87.038841,3247235
2017-09-18,89.252449,90.668579,87.255348,87.981567,86.273315,1004389
2017-09-19,88.653320,89.688179,87.800011,88.689629,86.967644,398529
2017-09-20,89.670029,89.688179,87.563988,88.399139,86.682777,348569
2017-09-21,88.144966,89.688179,87.200882,88.871185,87.145660,668866
2017-09-22,89.579247,89.579247,82.625694,83.878426,82.249840,557649
2017-09-25,84.604645,86.365723,80.501495,84.277840,82.641502,900236
2017-09-26,85.221931,88.526230,83.932884,87.346123,85.650208,750885
2017-09-27,88.671471,90.704887,85.330864,87.091949,85.400978,986725
2017-09-28,87.146416,89.996826,85.294548,87.818169,86.113098,584555
2017-09-29,87.872635,90.214691,87.672920,89.397697,87.661957,789548
2017-10-03,90.341782,93.827637,88.707787,91.503731,89.727097,1220591
2017-10-04,91.140625,92.193642,89.633713,90.632271,88.872566,608534
2017-10-05,90.559647,92.121017,89.434006,90.087601,88.338463,568111
2017-10-06,90.668579,91.104309,88.217590,88.689629,86.967644,779163
2017-10-09,89.125359,90.777512,88.235741,89.288757,87.555130,969546
2017-10-10,89.742645,91.140625,87.872635,88.417297,86.700592,688185
2017-10-11,89.288757,89.288757,86.420189,87.200882,85.507790,259144
2017-10-12,88.072342,88.925652,85.821060,86.983009,85.294151,310517
2017-10-13,88.780411,88.780411,86.619904,87.219032,85.525581,255311
2017-10-16,87.364281,87.800011,86.238640,87.400589,85.703629,276045
2017-10-17,87.509521,89.143517,86.801460,88.853027,87.127853,715810
2017-10-18,88.961960,89.252449,86.783302,87.091949,85.400978,236669
2017-10-19,87.146416,88.017876,86.601746,87.073792,85.383179,37404
2017-10-23,87.872635,87.872635,86.510971,86.983009,85.294151,86365
2017-10-24,87.146416,88.961960,86.601746,88.217590,86.504761,282523
2017-10-25,88.961960,88.961960,86.057083,86.492813,84.813469,426713
